Time (s),Current (A)
1.5126953125,1.326e-06
1.513671875,1.153821e-06
1.5146484375,1.04378e-06
1.515625,8.359202e-07
1.5166015625,7.024501e-07
1.517578125,5.832408e-07
1.5185546875,4.874601e-07
1.51953125,4.130998e-07
1.5205078125,3.254681e-07
1.521484375,2.388551e-07
1.5224609375,1.695589e-07
1.5234375,1.043663e-07
1.5244140625,5.343463e-08
1.525390625,2.182787e-08
1.5263671875,1.06229e-08
1.52734375,1.469743e-08
1.5283203125,2.080924e-08
1.529296875,1.877197e-08
1.5302734375,2.386514e-08
1.53125,2.284651e-08
1.5322265625,2.895831e-08
1.533203125,3.405148e-08
1.5341796875,5.034963e-08
1.53515625,5.85278e-08
1.5361328125,7.584458e-08
1.537109375,7.788185e-08
1.5380859375,9.418e-08
1.5390625,1.104781e-07
1.5400390625,1.430744e-07
1.541015625,1.736626e-07
1.5419921875,2.00147e-07
1.54296875,2.195011e-07
1.5439453125,2.398738e-07
1.544921875,2.53116e-07
1.5458984375,2.724701e-07
1.546875,2.785819e-07
1.5478515625,2.83675e-07
1.548828125,2.846937e-07
1.5498046875,2.846937e-07
1.55078125,2.846937e-07
1.5517578125,2.704328e-07
1.552734375,2.551533e-07
1.5537109375,2.53116e-07
1.5546875,2.33762e-07
1.5556640625,2.154266e-07
1.556640625,2.072775e-07
1.5576171875,1.899607e-07
1.55859375,1.726439e-07
1.5595703125,1.644657e-07
1.560546875,1.583539e-07
1.5615234375,1.451117e-07
1.5625,1.400185e-07
1.5634765625,1.410372e-07
1.564453125,1.440931e-07
1.5654296875,1.349254e-07
1.56640625,1.288136e-07
1.5673828125,1.267763e-07
1.568359375,1.24739e-07
1.5693359375,1.237204e-07
1.5703125,1.24739e-07
1.5712890625,1.288136e-07
1.572265625,1.35944e-07
1.5732421875,1.369626e-07
1.57421875,1.328881e-07
1.5751953125,1.288136e-07
1.576171875,1.145527e-07
1.5771484375,1.064036e-07
1.578125,9.825453e-08
1.5791015625,9.418e-08
1.580078125,9.519863e-08
1.5810546875,9.010546e-08
1.58203125,7.177005e-08
1.5830078125,5.649053e-08
1.583984375,4.321919e-08
1.5849609375,3.201421e-08
1.5859375,1.877197e-08
1.5869140625,7.566996e-09
1.587890625,7.566996e-09
1.5888671875,8.58563e-09
1.58984375,9.604264e-09
1.5908203125,1.36788e-08
1.591796875,1.164153e-08
1.5927734375,1.36788e-08
1.59375,5.529728e-09
1.5947265625,6.548362e-09
1.595703125,9.604264e-09
1.5966796875,1.06229e-08
1.59765625,1.06229e-08
1.5986328125,1.36788e-08
1.599609375,1.571607e-08
1.6005859375,1.469743e-08
1.6015625,1.571607e-08
1.6025390625,1.97906e-08
1.603515625,2.080924e-08
1.6044921875,1.877197e-08
1.60546875,1.67347e-08
1.6064453125,2.386514e-08
1.607421875,2.793968e-08
1.6083984375,2.182787e-08
1.609375,2.182787e-08
1.6103515625,1.469743e-08
1.611328125,1.266017e-08
1.6123046875,9.604264e-09
1.61328125,9.604264e-09
1.6142578125,9.604264e-09
1.615234375,7.566996e-09
1.6162109375,7.566996e-09
1.6171875,6.548362e-09
1.6181640625,3.49246e-09
1.619140625,-5.820766e-10
1.6201171875,-9.749783e-09
1.62109375,-6.693881e-09
1.6220703125,-3.637979e-09
1.623046875,-1.076842e-08
1.6240234375,-7.712515e-09
1.625,-1.076842e-08
1.6259765625,-7.712515e-09
1.626953125,-1.280569e-08
1.6279296875,-1.178705e-08
1.62890625,-1.484295e-08
1.6298828125,-1.789886e-08
1.630859375,-1.891749e-08
1.6318359375,-2.502929e-08
1.6328125,-2.706656e-08
1.6337890625,-3.4197e-08
1.634765625,-3.827154e-08
1.6357421875,-4.234607e-08
1.63671875,-4.743924e-08
1.6376953125,-6.068149e-08
1.638671875,-8.413917e-08
1.6396484375,-9.738142e-08
1.640625,-1.259032e-07
1.6416015625,-1.391454e-07
1.642578125,-1.534063e-07
1.6435546875,-1.707231e-07
1.64453125,-1.88069e-07
1.6455078125,-2.013112e-07
1.646484375,-2.247398e-07
1.6474609375,-2.430752e-07
1.6484375,-2.522429e-07
1.6494140625,-2.695597e-07
1.650390625,-2.736342e-07
1.6513671875,-2.756715e-07
1.65234375,-2.756715e-07
1.6533203125,-2.828019e-07
1.654296875,-2.79746e-07
1.6552734375,-2.889137e-07
1.65625,-2.828019e-07
1.6572265625,-2.899324e-07
1.658203125,-2.868765e-07
1.6591796875,-2.838206e-07
1.66015625,-2.817833e-07
1.6611328125,-2.817833e-07
1.662109375,-2.848392e-07
1.6630859375,-2.807647e-07
1.6640625,-2.868765e-07
1.6650390625,-2.950255e-07
1.666015625,-2.940069e-07
1.6669921875,-3.032037e-07
1.66796875,-3.113528e-07
1.6689453125,-3.195019e-07
1.669921875,-3.378373e-07
1.6708984375,-3.683963e-07
1.671875,-4.009926e-07
1.6728515625,-4.346366e-07
1.673828125,-4.499161e-07
1.6748046875,-4.672329e-07
1.67578125,-4.916801e-07
1.6767578125,-5.303882e-07
1.677734375,-6.557093e-07
1.6787109375,-8.757925e-07
1.6796875,-1.029664e-06
1.6806640625,-1.040869e-06
1.681640625,-1.012319e-06
1.6826171875,-9.8889e-07
1.68359375,-9.55275e-07
1.6845703125,-9.043433e-07
1.685546875,-8.625502e-07
1.6865234375,-8.207862e-07
1.6875,-7.779745e-07
1.6884765625,-7.392664e-07
1.689453125,-6.995397e-07
1.6904296875,-6.546907e-07
1.69140625,-6.180198e-07
1.6923828125,-5.844049e-07
1.693359375,-5.538459e-07
1.6943359375,-5.191832e-07
1.6953125,-4.926987e-07
1.6962890625,-4.662143e-07
1.697265625,-4.438043e-07
1.6982421875,-4.060857e-07
1.69921875,-3.846944e-07
1.7001953125,-3.582099e-07
1.701171875,-3.307068e-07
1.7021484375,-3.174646e-07
1.703125,-3.001187e-07
1.7041015625,-2.787274e-07
1.705078125,-2.644665e-07
1.7060546875,-2.461311e-07
1.70703125,-2.339075e-07
1.7080078125,-2.125162e-07
1.708984375,-1.96218e-07
1.7099609375,-1.911249e-07
1.7109375,-1.768349e-07
1.7119140625,-1.676672e-07
1.712890625,-1.534063e-07
1.7138671875,-1.534063e-07
1.71484375,-1.422013e-07
1.7158203125,-1.279404e-07
1.716796875,-1.2081e-07
1.7177734375,-1.085864e-07
1.71875,-1.004373e-07
1.7197265625,-9.636278e-08
1.720703125,-9.840005e-08
1.7216796875,-8.617644e-08
1.72265625,-8.312054e-08
1.7236328125,-8.108327e-08
1.724609375,-8.210191e-08
1.7255859375,-7.191557e-08
1.7265625,-7.089693e-08
1.7275390625,-6.271875e-08
1.728515625,-5.864422e-08
1.7294921875,-5.558832e-08
1.73046875,-5.558832e-08
1.7314453125,-5.558832e-08
1.732421875,-5.253241e-08
1.7333984375,-5.151378e-08
1.734375,-4.743924e-08
1.7353515625,-4.845788e-08
1.736328125,-4.234607e-08
1.7373046875,-4.642061e-08
1.73828125,-4.336471e-08
1.7392578125,-3.623427e-08
1.740234375,-4.132744e-08
1.7412109375,-3.929017e-08
1.7421875,-3.623427e-08
1.7431640625,-3.215973e-08
1.744140625,-3.4197e-08
1.7451171875,-2.604793e-08
1.74609375,-2.706656e-08
1.7470703125,-2.706656e-08
1.748046875,-2.401066e-08
1.7490234375,-2.910383e-08
1.75,-2.910383e-08
1.7509765625,-2.604793e-08
1.751953125,-2.299203e-08
1.7529296875,-2.80852e-08
1.75390625,-2.706656e-08
1.7548828125,-1.993612e-08
1.755859375,-1.789886e-08
1.7568359375,-2.502929e-08
1.7578125,-2.401066e-08
1.7587890625,-2.604793e-08
1.759765625,-2.401066e-08
1.7607421875,-2.401066e-08
1.76171875,-2.299203e-08
1.7626953125,-2.401066e-08
1.763671875,-1.382432e-08
1.7646484375,-1.891749e-08
1.765625,-1.789886e-08
1.7666015625,-2.095476e-08
1.767578125,-1.688022e-08
1.7685546875,-1.382432e-08
1.76953125,-2.095476e-08
1.7705078125,-1.993612e-08
1.771484375,-1.076842e-08
1.7724609375,-8.731149e-09
1.7734375,-1.076842e-08
1.7744140625,-5.675247e-09
1.775390625,-1.178705e-08
1.7763671875,-1.280569e-08
1.77734375,-1.076842e-08
1.7783203125,-1.484295e-08
1.779296875,-1.688022e-08
1.7802734375,-1.688022e-08
1.78125,-9.749783e-09
1.7822265625,-1.586159e-08
1.783203125,-1.178705e-08
1.7841796875,-1.280569e-08
1.78515625,-1.076842e-08
1.7861328125,-1.484295e-08
